date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:57:49	1473/1473	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Apr%202024%2013:57:35%20GMT	https://www.genaio.me/robots.txt		(from )
06:57:49	47146/47146	---MCZ	200	added ('OK')	text/html	etag:W/%229e80d691cf50981782dcfba4cc086e82%22	https://www.genaio.me/	C:/My%20Web%20Sites/eureka%202/www.genaio.me/index.html	(from )
06:57:49	54454/54454	---MCZ	200	added ('OK')	text/css	etag:W/%22221ebdbe4a3ef490436fe168f9094aeb%22	https://www.genaio.me/css/animate.min.css	C:/My%20Web%20Sites/eureka%202/www.genaio.me/css/animate.min.css	(from https://www.genaio.me/)
06:57:50	275805/275805	---M--	200	added ('OK')	image/png	etag:%225e6e5d5aa0a027645f88ccfd44054512%22	https://www.genaio.me/GEN%20AI2.png	C:/My%20Web%20Sites/eureka%202/www.genaio.me/GEN%20AI2.png	(from https://www.genaio.me/)
06:57:50	232959/232959	---MCZ	200	added ('OK')	text/css	etag:W/%22cfd10ff071b3c9c1a817e4b244b7dc0f%22	https://www.genaio.me/css/bootstrap.min.css	C:/My%20Web%20Sites/eureka%202/www.genaio.me/css/bootstrap.min.css	(from https://www.genaio.me/)
06:57:50	511983/511983	---MCZ	200	added ('OK')	text/css	etag:W/%2251b891f828af84bc7022607a974f1624%22	https://www.genaio.me/css/font-awesome-pro.min.css	C:/My%20Web%20Sites/eureka%202/www.genaio.me/css/font-awesome-pro.min.css	(from https://www.genaio.me/)
06:57:50	1913/1913	---MCZ	200	added ('OK')	text/css	etag:W/%22df7ca38cd3379c543c1c58ba9257c5dc%22	https://www.genaio.me/css/flaticon_gerold.css	C:/My%20Web%20Sites/eureka%202/www.genaio.me/css/flaticon_gerold.css	(from https://www.genaio.me/)
06:57:50	4007/4007	---MCZ	200	added ('OK')	text/css	etag:W/%22a7ace323b9fc8a831a6e64feb23fa0b9%22	https://www.genaio.me/css/nice-select.css	C:/My%20Web%20Sites/eureka%202/www.genaio.me/css/nice-select.css	(from https://www.genaio.me/)
06:57:51	1047/1047	---MCZ	200	added ('OK')	text/css	etag:W/%22d96d1fab504da0f16a2b7b4b8609fd9f%22	https://www.genaio.me/css/backToTop.css	C:/My%20Web%20Sites/eureka%202/www.genaio.me/css/backToTop.css	(from https://www.genaio.me/)
06:57:51	3352/3352	---MCZ	200	added ('OK')	text/css	etag:W/%22d964cdd4d9e85b8c1185a92bae34b049%22	https://www.genaio.me/css/owl.carousel.min.css	C:/My%20Web%20Sites/eureka%202/www.genaio.me/css/owl.carousel.min.css	(from https://www.genaio.me/)
06:57:51	4012/4012	---MCZ	200	added ('OK')	text/css	etag:W/%22212e4124d80b019c50712c5f57534098%22	https://www.genaio.me/css/odometer-theme-default.css	C:/My%20Web%20Sites/eureka%202/www.genaio.me/css/odometer-theme-default.css	(from https://www.genaio.me/)
06:57:52	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2230b593b71d7672658f89bfea0ab360c9%22	https://www.genaio.me/css/magnific-popup.css	C:/My%20Web%20Sites/eureka%202/www.genaio.me/css/magnific-popup.css	(from https://www.genaio.me/)
06:57:52	73573/73573	---MCZ	200	added ('OK')	text/css	etag:W/%22739304ec184b3e56529121b20f7e3880%22	https://www.genaio.me/css/main.css	C:/My%20Web%20Sites/eureka%202/www.genaio.me/css/main.css	(from https://www.genaio.me/)
06:57:52	17805/17805	---MCZ	200	added ('OK')	text/css	etag:W/%2230883ada4059e4e9b62c34a76ba74c3f%22	https://www.genaio.me/css/responsive.css	C:/My%20Web%20Sites/eureka%202/www.genaio.me/css/responsive.css	(from https://www.genaio.me/)
06:57:52	45126/45126	---MCZ	200	added ('OK')	text/html	etag:W/%22f6c7fa43cb4b5d0392b29d2c2cb269ab%22	https://www.genaio.me/index-2.html	C:/My%20Web%20Sites/eureka%202/www.genaio.me/index-2.html	(from https://www.genaio.me/)
06:57:53	2457/2457	---MCZ	200	added ('OK')	text/html	etag:W/%22e53fdf76753edcd8773ab17ae968bfd6%22	https://www.genaio.me/images/modal-img.html	C:/My%20Web%20Sites/eureka%202/www.genaio.me/images/modal-img.html	(from https://www.genaio.me/)
06:57:53	2457/2457	---MCZ	200	added ('OK')	text/html	etag:W/%22e53fdf76753edcd8773ab17ae968bfd6%22	https://www.genaio.me/images/modal-img_1.html	C:/My%20Web%20Sites/eureka%202/www.genaio.me/images/modal-img_1.html	(from https://www.genaio.me/)
06:57:53	2457/2457	---MCZ	200	added ('OK')	text/html	etag:W/%22e53fdf76753edcd8773ab17ae968bfd6%22	https://www.genaio.me/images/p-gallery-1.html	C:/My%20Web%20Sites/eureka%202/www.genaio.me/images/p-gallery-1.html	(from https://www.genaio.me/)
06:57:53	2457/2457	---MCZ	200	added ('OK')	text/html	etag:W/%22e53fdf76753edcd8773ab17ae968bfd6%22	https://www.genaio.me/images/p-gallery-2.html	C:/My%20Web%20Sites/eureka%202/www.genaio.me/images/p-gallery-2.html	(from https://www.genaio.me/)
06:57:54	2457/2457	---MCZ	200	added ('OK')	text/html	etag:W/%22e53fdf76753edcd8773ab17ae968bfd6%22	https://www.genaio.me/images/p-gallery-3.html	C:/My%20Web%20Sites/eureka%202/www.genaio.me/images/p-gallery-3.html	(from https://www.genaio.me/)
06:57:54	2457/2457	---MCZ	200	added ('OK')	text/html	etag:W/%22e53fdf76753edcd8773ab17ae968bfd6%22	https://www.genaio.me/images/p-gallery-4.html	C:/My%20Web%20Sites/eureka%202/www.genaio.me/images/p-gallery-4.html	(from https://www.genaio.me/)
06:57:55	188400/188400	---M--	200	added ('OK')	image/png	etag:%22bfe5b1d2ea24f1947cf79ee5d0530e7c%22	https://www.genaio.me/crypto%20advisor.png	C:/My%20Web%20Sites/eureka%202/www.genaio.me/crypto%20advisor.png	(from https://www.genaio.me/)
06:57:55	154173/154173	---M--	200	added ('OK')	image/png	etag:%223f475789f95671146692eabd4fa60d8a%22	https://www.genaio.me/1.png	C:/My%20Web%20Sites/eureka%202/www.genaio.me/1.png	(from https://www.genaio.me/)
06:57:56	230920/230920	---M--	200	added ('OK')	image/png	etag:%224cfc637107835291c7f84d4d5690e024%22	https://www.genaio.me/2.png	C:/My%20Web%20Sites/eureka%202/www.genaio.me/2.png	(from https://www.genaio.me/)
06:57:56	175053/175053	---M--	200	added ('OK')	image/png	etag:%2240fdba7c9ba0cd5201768f2011cc693c%22	https://www.genaio.me/3.png	C:/My%20Web%20Sites/eureka%202/www.genaio.me/3.png	(from https://www.genaio.me/)
06:57:56	188496/188496	---M--	200	added ('OK')	image/png	etag:%22259be7c76a96cdf429574c1a2bab0c88%22	https://www.genaio.me/5.png	C:/My%20Web%20Sites/eureka%202/www.genaio.me/5.png	(from https://www.genaio.me/)
06:57:57	2457/2457	---MCZ	200	added ('OK')	text/html	etag:W/%22e53fdf76753edcd8773ab17ae968bfd6%22	https://www.genaio.me/images/logo.html	C:/My%20Web%20Sites/eureka%202/www.genaio.me/images/logo.html	(from https://www.genaio.me/)
06:57:57	183842/183842	---M--	200	added ('OK')	image/png	etag:%22f330b5b963af2df66d1525a736bb63ad%22	https://www.genaio.me/4.png	C:/My%20Web%20Sites/eureka%202/www.genaio.me/4.png	(from https://www.genaio.me/)
06:57:57	87994/87994	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b31607d81776663ee4e9782ccc0f727%22	https://www.genaio.me/js/jquery.min.js	C:/My%20Web%20Sites/eureka%202/www.genaio.me/js/jquery.min.js	(from https://www.genaio.me/)
06:57:57	80663/80663	---MCZ	200	added ('OK')	application/javascript	etag:W/%226baf57f25796c332144ed58a2a0cd9ee%22	https://www.genaio.me/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/eureka%202/www.genaio.me/js/bootstrap.bundle.min.js	(from https://www.genaio.me/)
06:57:58	2942/2942	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d13462ec489f9f0c309a811f85feb3d6%22	https://www.genaio.me/js/nice-select.min.js	C:/My%20Web%20Sites/eureka%202/www.genaio.me/js/nice-select.min.js	(from https://www.genaio.me/)
